epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2523.79,0.83666,0.43382,1.08011,0.99188,0.99066,0.99257,0.81363,0.76213,0.30505,1.06503,0.008614,0.008614,0.008614
44,2581.87,0.83296,0.43051,1.0807,0.98985,0.9931,0.99323,0.81764,0.75304,0.29715,1.05894,0.008581,0.008581,0.008581
45,2640.38,0.83199,0.42605,1.0693,0.99505,0.99202,0.99233,0.81508,0.76799,0.3032,1.0672,0.008548,0.008548,0.008548
46,2698.7,0.83456,0.42888,1.07781,0.99282,0.99142,0.9922,0.80643,0.77119,0.31801,1.08297,0.008515,0.008515,0.008515
47,2758.2,0.82289,0.42353,1.07803,0.99174,0.99297,0.99147,0.81715,0.75871,0.30286,1.06204,0.008482,0.008482,0.008482
48,2816.5,0.82626,0.43042,1.07555,0.99191,0.99469,0.99152,0.81186,0.74659,0.29805,1.05411,0.008449,0.008449,0.008449
49,2874.87,0.83086,0.42099,1.07671,0.99469,0.99314,0.99224,0.80936,0.77639,0.30156,1.06789,0.008416,0.008416,0.008416
50,2933.25,0.83256,0.42451,1.07318,0.99095,0.99079,0.99238,0.81296,0.77775,0.31036,1.07776,0.008383,0.008383,0.008383
51,2990.99,0.82763,0.41461,1.07337,0.9905,0.99349,0.99273,0.8193,0.74597,0.30067,1.05383,0.00835,0.00835,0.00835
52,3049.12,0.83934,0.42416,1.0799,0.99111,0.99318,0.99266,0.82156,0.7586,0.29445,1.06299,0.008317,0.008317,0.008317
53,3106.86,0.8263,0.41662,1.06965,0.99531,0.99465,0.99295,0.81638,0.76445,0.29403,1.05709,0.008284,0.008284,0.008284
54,3164.66,0.82278,0.41695,1.07003,0.99464,0.994,0.99221,0.81851,0.75198,0.29714,1.06463,0.008251,0.008251,0.008251
