epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
189,10965.8,0.67812,0.30605,1.00798,0.99271,0.9934,0.99376,0.85724,0.65476,0.23346,1.00134,0.003796,0.003796,0.003796
190,11023.5,0.68174,0.31047,1.00397,0.99273,0.9932,0.99371,0.85584,0.65399,0.23435,0.99942,0.003763,0.003763,0.003763
191,11081.1,0.68445,0.31016,1.0104,0.99339,0.9933,0.99361,0.85695,0.65269,0.23498,0.99863,0.00373,0.00373,0.00373
192,11138.8,0.68078,0.31027,1.0068,0.99293,0.9941,0.99397,0.85624,0.65112,0.23312,0.99755,0.003697,0.003697,0.003697
193,11196.7,0.67787,0.30802,1.00359,0.99375,0.99477,0.99424,0.85828,0.65003,0.23145,0.99647,0.003664,0.003664,0.003664
194,11254.2,0.68439,0.30975,1.00362,0.99231,0.99429,0.99413,0.85812,0.65431,0.23294,0.99844,0.003631,0.003631,0.003631
195,11312.1,0.675,0.30015,1.00381,0.99257,0.99333,0.9941,0.86038,0.65416,0.23118,0.99778,0.003598,0.003598,0.003598
196,11370,0.67244,0.30431,1.00158,0.99363,0.99376,0.99406,0.86092,0.65505,0.22998,0.99755,0.003565,0.003565,0.003565
197,11427.7,0.67158,0.30573,1.00522,0.99358,0.99373,0.994,0.85974,0.65276,0.23017,0.99595,0.003532,0.003532,0.003532
198,11485.4,0.66841,0.30417,0.99767,0.99295,0.99374,0.99398,0.85696,0.65359,0.2291,0.996,0.003499,0.003499,0.003499
199,11543.2,0.67153,0.30122,0.99996,0.99318,0.9932,0.99401,0.85717,0.65141,0.22892,0.99534,0.003466,0.003466,0.003466
200,11600.9,0.66803,0.30319,1.00402,0.99412,0.99307,0.99419,0.86043,0.64895,0.22807,0.99464,0.003433,0.003433,0.003433
201,11658.7,0.66062,0.30362,0.99578,0.99354,0.99415,0.99425,0.86183,0.6449,0.22742,0.99206,0.0034,0.0034,0.0034
202,11716.3,0.665,0.308,0.99848,0.99344,0.99549,0.99404,0.85921,0.64591,0.2284,0.99212,0.003367,0.003367,0.003367
203,11773.8,0.6678,0.30083,0.99849,0.99267,0.99629,0.99411,0.85937,0.64666,0.22836,0.99258,0.003334,0.003334,0.003334
204,11831.6,0.66534,0.30346,1.00003,0.99572,0.99503,0.99416,0.85956,0.64696,0.2268,0.99324,0.003301,0.003301,0.003301
205,11889.3,0.65505,0.30093,1.00004,0.99517,0.99285,0.99449,0.86182,0.64597,0.22708,0.99235,0.003268,0.003268,0.003268
206,11947,0.65452,0.2997,0.99621,0.99547,0.99226,0.99441,0.85985,0.64275,0.22753,0.99076,0.003235,0.003235,0.003235
207,12004.8,0.65974,0.30299,0.99538,0.99524,0.99224,0.99451,0.86117,0.64046,0.22823,0.98984,0.003202,0.003202,0.003202
208,12062.6,0.6633,0.30253,0.99856,0.99511,0.99231,0.99439,0.86097,0.63981,0.22629,0.98912,0.003169,0.003169,0.003169
209,12120.2,0.65494,0.30129,0.99477,0.99493,0.99284,0.99447,0.86093,0.6389,0.22798,0.98881,0.003136,0.003136,0.003136
210,12177.9,0.66208,0.30309,0.99615,0.99331,0.99342,0.99446,0.85954,0.63992,0.22697,0.98958,0.003103,0.003103,0.003103
211,12235.7,0.65341,0.29563,0.98916,0.99413,0.99322,0.994,0.86094,0.64328,0.22775,0.99015,0.00307,0.00307,0.00307
212,12293.6,0.64335,0.29101,0.9895,0.99411,0.99358,0.99404,0.85839,0.64209,0.22793,0.98938,0.003037,0.003037,0.003037
213,12351.4,0.64379,0.29198,0.98862,0.99413,0.99369,0.9941,0.86106,0.6411,0.22737,0.98912,0.003004,0.003004,0.003004
214,12409.5,0.64915,0.29302,0.98606,0.99419,0.99402,0.99418,0.86115,0.64077,0.22718,0.98889,0.002971,0.002971,0.002971
215,12467.2,0.65416,0.29838,0.99506,0.99438,0.99354,0.99415,0.86103,0.64174,0.22697,0.98984,0.002938,0.002938,0.002938
216,12524.8,0.64396,0.29534,0.98642,0.99425,0.99423,0.99416,0.86111,0.64166,0.22694,0.99048,0.002905,0.002905,0.002905
217,12582.5,0.63253,0.28974,0.9833,0.99459,0.99406,0.99416,0.86245,0.63986,0.22601,0.99028,0.002872,0.002872,0.002872
218,12640.3,0.64302,0.29234,0.99052,0.99465,0.99401,0.99418,0.8618,0.6367,0.22407,0.98923,0.002839,0.002839,0.002839
219,12698.1,0.6437,0.29321,0.98786,0.99493,0.99421,0.99419,0.86145,0.63562,0.22362,0.98849,0.002806,0.002806,0.002806
220,12755.7,0.6444,0.29265,0.98766,0.99492,0.99398,0.99421,0.86336,0.63507,0.22321,0.98816,0.002773,0.002773,0.002773
221,12813.5,0.64573,0.29196,0.99196,0.99366,0.99577,0.99427,0.86528,0.6303,0.22227,0.98626,0.00274,0.00274,0.00274
222,12871.3,0.63259,0.28873,0.98597,0.99424,0.99613,0.99425,0.86453,0.62812,0.22123,0.98462,0.002707,0.002707,0.002707
223,12929.1,0.63931,0.28938,0.9861,0.99421,0.99623,0.99423,0.8637,0.62839,0.22067,0.98533,0.002674,0.002674,0.002674
224,12987.1,0.62912,0.28139,0.97943,0.99397,0.99635,0.99423,0.86389,0.63,0.22139,0.98683,0.002641,0.002641,0.002641
225,13045,0.63148,0.28459,0.98493,0.99363,0.99641,0.99427,0.86474,0.62975,0.22189,0.98692,0.002608,0.002608,0.002608
226,13102.7,0.63233,0.28762,0.98268,0.99425,0.99634,0.99427,0.86624,0.62824,0.22157,0.98591,0.002575,0.002575,0.002575
227,13160.6,0.62882,0.28871,0.98704,0.99466,0.99571,0.99458,0.86717,0.62688,0.22036,0.98535,0.002542,0.002542,0.002542
228,13218.3,0.62753,0.28201,0.98172,0.99467,0.99585,0.9946,0.86576,0.62485,0.22009,0.98469,0.002509,0.002509,0.002509
229,13276.1,0.62833,0.28696,0.98038,0.99396,0.99474,0.99446,0.86717,0.62363,0.2196,0.98297,0.002476,0.002476,0.002476
230,13334,0.62651,0.28561,0.97791,0.99409,0.99412,0.99444,0.8668,0.62227,0.21913,0.98202,0.002443,0.002443,0.002443
231,13391.9,0.62423,0.28277,0.9811,0.99328,0.99452,0.99449,0.86727,0.62042,0.21915,0.98136,0.00241,0.00241,0.00241
232,13449.5,0.62549,0.28529,0.98265,0.99412,0.99327,0.99457,0.8669,0.6196,0.21968,0.98196,0.002377,0.002377,0.002377
233,13507.3,0.62138,0.28332,0.97988,0.99409,0.9929,0.99463,0.86899,0.61866,0.21893,0.98257,0.002344,0.002344,0.002344
234,13565,0.61571,0.27858,0.97597,0.99326,0.99324,0.99463,0.86897,0.61772,0.21843,0.982,0.002311,0.002311,0.002311
235,13622.8,0.61338,0.27347,0.97673,0.99236,0.99468,0.99458,0.86864,0.61845,0.21896,0.98167,0.002278,0.002278,0.002278
236,13680.3,0.61421,0.27713,0.97528,0.99448,0.99232,0.99457,0.86992,0.61646,0.2167,0.98062,0.002245,0.002245,0.002245
237,13738.3,0.61641,0.27842,0.97864,0.99326,0.99396,0.99458,0.87063,0.61593,0.21749,0.98088,0.002212,0.002212,0.002212
238,13795.9,0.60966,0.27603,0.97559,0.99416,0.99119,0.99451,0.87107,0.61369,0.21739,0.97979,0.002179,0.002179,0.002179
239,13853.7,0.61249,0.27765,0.97521,0.99056,0.99375,0.99447,0.87113,0.61314,0.21809,0.9798,0.002146,0.002146,0.002146
240,13911.5,0.61765,0.28004,0.97905,0.99111,0.99324,0.99413,0.87114,0.61284,0.21895,0.98003,0.002113,0.002113,0.002113
241,13969.1,0.61291,0.27735,0.97611,0.99122,0.99355,0.99421,0.87038,0.61228,0.2183,0.97991,0.00208,0.00208,0.00208
242,14026.8,0.61305,0.2766,0.97745,0.99384,0.9916,0.99423,0.87087,0.61227,0.21781,0.97957,0.002047,0.002047,0.002047
243,14084.5,0.60283,0.27246,0.97858,0.99473,0.99231,0.99431,0.87113,0.61248,0.21775,0.97932,0.002014,0.002014,0.002014
244,14142.3,0.60686,0.27422,0.9774,0.99503,0.99235,0.9943,0.87068,0.61184,0.21614,0.97873,0.001981,0.001981,0.001981
245,14200,0.6107,0.27603,0.97818,0.99463,0.99293,0.99431,0.86975,0.61324,0.21598,0.97921,0.001948,0.001948,0.001948
246,14257.9,0.60086,0.27157,0.97181,0.9951,0.99268,0.99425,0.87081,0.61182,0.21431,0.97835,0.001915,0.001915,0.001915
247,14315.5,0.60193,0.27187,0.97248,0.99251,0.99551,0.99425,0.87215,0.61104,0.21445,0.97786,0.001882,0.001882,0.001882
248,14373.2,0.60992,0.27269,0.97888,0.995,0.99572,0.99462,0.87145,0.61062,0.21434,0.97749,0.001849,0.001849,0.001849
249,14430.7,0.59991,0.27275,0.97318,0.99449,0.99421,0.99463,0.87194,0.60993,0.2147,0.97711,0.001816,0.001816,0.001816
250,14488.5,0.60208,0.27412,0.9726,0.99463,0.99371,0.9946,0.87056,0.61005,0.21479,0.97703,0.001783,0.001783,0.001783
251,14546.3,0.58865,0.26949,0.96869,0.99462,0.99381,0.99455,0.87113,0.60961,0.21559,0.97678,0.00175,0.00175,0.00175
252,14603.9,0.5975,0.27087,0.96971,0.99479,0.99337,0.99455,0.87111,0.60893,0.21428,0.97633,0.001717,0.001717,0.001717
253,14661.8,0.59744,0.27037,0.97127,0.99415,0.99383,0.99456,0.87218,0.60872,0.21479,0.97597,0.001684,0.001684,0.001684
254,14719.7,0.59348,0.27143,0.96771,0.99352,0.99546,0.99459,0.87188,0.60896,0.21408,0.97619,0.001651,0.001651,0.001651
255,14778.1,0.58985,0.26655,0.9685,0.99287,0.99598,0.99463,0.87283,0.60782,0.21393,0.97556,0.001618,0.001618,0.001618
256,14835.9,0.59241,0.27118,0.96829,0.99283,0.99587,0.99462,0.87403,0.60675,0.21368,0.97481,0.001585,0.001585,0.001585
257,14893.9,0.5949,0.27144,0.97191,0.99322,0.99541,0.99466,0.87416,0.60588,0.21385,0.97435,0.001552,0.001552,0.001552
258,14951.7,0.58806,0.26581,0.96859,0.99341,0.99569,0.99462,0.87449,0.6047,0.21381,0.97392,0.001519,0.001519,0.001519
259,15009.3,0.59201,0.27077,0.9682,0.99336,0.99585,0.99464,0.87524,0.60382,0.21434,0.97357,0.001486,0.001486,0.001486
260,15067.2,0.58449,0.26772,0.96655,0.99369,0.99602,0.99431,0.87544,0.6023,0.2135,0.97284,0.001453,0.001453,0.001453
261,15125.2,0.58399,0.26342,0.96233,0.9938,0.99598,0.99427,0.87615,0.60106,0.21421,0.9724,0.00142,0.00142,0.00142
262,15182.9,0.58655,0.26574,0.96502,0.99386,0.99615,0.99427,0.87596,0.6002,0.21395,0.97155,0.001387,0.001387,0.001387
263,15240.8,0.58139,0.26412,0.95955,0.99376,0.99646,0.99429,0.87644,0.59989,0.21397,0.97144,0.001354,0.001354,0.001354
264,15298.6,0.58482,0.26644,0.96688,0.99373,0.99637,0.99435,0.87562,0.5997,0.21362,0.97187,0.001321,0.001321,0.001321
265,15356.6,0.58166,0.26491,0.96168,0.99385,0.99604,0.99437,0.87679,0.59968,0.2132,0.97212,0.001288,0.001288,0.001288
266,15414.4,0.58107,0.26832,0.96074,0.9941,0.99562,0.99437,0.87665,0.59943,0.21358,0.9722,0.001255,0.001255,0.001255
267,15472,0.57255,0.26225,0.96122,0.99407,0.99539,0.99436,0.87759,0.60004,0.2135,0.97283,0.001222,0.001222,0.001222
268,15529.7,0.57871,0.2629,0.96814,0.99452,0.99429,0.99437,0.87644,0.5998,0.21326,0.97287,0.001189,0.001189,0.001189
269,15587.3,0.57106,0.26034,0.95917,0.99414,0.9942,0.99437,0.87744,0.59884,0.21261,0.97259,0.001156,0.001156,0.001156
270,15645,0.57593,0.26213,0.96294,0.99436,0.99419,0.99438,0.87786,0.59761,0.21273,0.97243,0.001123,0.001123,0.001123
271,15702.8,0.57202,0.26162,0.96213,0.99445,0.99411,0.99437,0.87792,0.5967,0.21318,0.97217,0.00109,0.00109,0.00109
272,15760.5,0.57613,0.265,0.96451,0.99451,0.99411,0.99437,0.87902,0.59562,0.21281,0.97169,0.001057,0.001057,0.001057
273,15818.4,0.57559,0.26267,0.96267,0.99179,0.99532,0.99435,0.87875,0.59488,0.21183,0.97125,0.001024,0.001024,0.001024
274,15875.9,0.56451,0.255,0.95951,0.99179,0.99529,0.99434,0.87755,0.59414,0.21163,0.97086,0.000991,0.000991,0.000991
275,15933.7,0.57019,0.2587,0.95758,0.99271,0.99353,0.99434,0.87799,0.59378,0.21299,0.97091,0.000958,0.000958,0.000958
276,15991.7,0.56944,0.25655,0.95531,0.99301,0.99334,0.99429,0.87827,0.59357,0.21259,0.97075,0.000925,0.000925,0.000925
277,16049.5,0.56692,0.25888,0.96093,0.99287,0.99333,0.99427,0.87706,0.59306,0.21246,0.97067,0.000892,0.000892,0.000892
278,16107.3,0.56797,0.25776,0.95606,0.99312,0.99319,0.99428,0.87787,0.59294,0.21254,0.97063,0.000859,0.000859,0.000859
279,16165.4,0.56377,0.25633,0.95513,0.99356,0.99318,0.99429,0.87781,0.59267,0.21152,0.97082,0.000826,0.000826,0.000826
280,16223.3,0.56568,0.25675,0.95924,0.99352,0.9933,0.99431,0.87847,0.59213,0.21196,0.97062,0.000793,0.000793,0.000793
281,16281.3,0.55168,0.24956,0.95381,0.99399,0.99314,0.99433,0.87836,0.59142,0.21164,0.97043,0.00076,0.00076,0.00076
282,16339.1,0.558,0.25266,0.95839,0.99364,0.99325,0.99432,0.87877,0.59134,0.21125,0.97033,0.000727,0.000727,0.000727
283,16397,0.56154,0.25371,0.95573,0.99394,0.99322,0.99432,0.87945,0.59103,0.21106,0.97017,0.000694,0.000694,0.000694
284,16454.9,0.55798,0.25334,0.95571,0.99393,0.99336,0.99432,0.8795,0.59061,0.21143,0.97015,0.000661,0.000661,0.000661
285,16512.8,0.55268,0.2482,0.95646,0.99359,0.99345,0.99431,0.87938,0.59007,0.21136,0.96987,0.000628,0.000628,0.000628
286,16570.5,0.55465,0.25545,0.9533,0.99364,0.99334,0.99429,0.87948,0.58942,0.21172,0.9698,0.000595,0.000595,0.000595
287,16628.1,0.552,0.25302,0.951,0.99366,0.99334,0.99431,0.87931,0.58891,0.211,0.96967,0.000562,0.000562,0.000562
288,16685.9,0.56007,0.25266,0.95557,0.9939,0.99321,0.99431,0.87993,0.58823,0.21086,0.96962,0.000529,0.000529,0.000529
289,16743.8,0.55233,0.25092,0.9537,0.99379,0.99348,0.99429,0.88014,0.58787,0.21082,0.96945,0.000496,0.000496,0.000496
290,16801.7,0.5514,0.25188,0.95439,0.99377,0.99378,0.99426,0.88066,0.58746,0.21122,0.96943,0.000463,0.000463,0.000463
291,16881.5,0.44254,0.18667,0.90024,0.99358,0.99388,0.99429,0.88047,0.58705,0.21172,0.96935,0.00043,0.00043,0.00043
292,16939.1,0.43014,0.18138,0.89203,0.99359,0.99388,0.99429,0.87997,0.58681,0.21159,0.96936,0.000397,0.000397,0.000397
293,16996.3,0.43239,0.18237,0.89607,0.99359,0.99393,0.99427,0.88085,0.58659,0.21197,0.96947,0.000364,0.000364,0.000364
294,17053.8,0.4246,0.18062,0.89693,0.99363,0.994,0.99426,0.88053,0.58595,0.21236,0.96942,0.000331,0.000331,0.000331
295,17111,0.42414,0.17986,0.89506,0.99366,0.99402,0.99427,0.88103,0.58564,0.21239,0.9695,0.000298,0.000298,0.000298
296,17168.7,0.41875,0.17822,0.89089,0.99366,0.99408,0.99422,0.88191,0.58509,0.21256,0.96956,0.000265,0.000265,0.000265
297,17226.1,0.41785,0.17867,0.89185,0.99374,0.99407,0.99424,0.88154,0.58457,0.21219,0.96953,0.000232,0.000232,0.000232
298,17283.4,0.41821,0.17845,0.8902,0.99376,0.99423,0.99422,0.882,0.58413,0.21213,0.9696,0.000199,0.000199,0.000199
299,17340.6,0.41474,0.17619,0.88987,0.99377,0.99438,0.99422,0.8818,0.58379,0.21246,0.9697,0.000166,0.000166,0.000166
300,17397.9,0.40945,0.17464,0.88697,0.99376,0.99443,0.99422,0.88125,0.58356,0.21232,0.96963,0.000133,0.000133,0.000133
